long,lat,group,order,region,subregion
7.300781727,4.418164253,1050,66375,Nigeria,1
7.203906536,4.387646675,1050,66376,Nigeria,1
7.140429497,4.395117283,1050,66377,Nigeria,1
7.227343559,4.527343273,1050,66378,Nigeria,1
7.2713871,4.498926163,1050,66379,Nigeria,1
7.327929974,4.487207413,1050,66380,Nigeria,1
7.300781727,4.418164253,1050,66381,Nigeria,1
13.60634804,13.70458984,1051,66383,Nigeria,
13.76347637,13.48955059,1051,66384,Nigeria,
13.93232441,13.25849628,1051,66385,Nigeria,
14.06396484,13.07851505,1051,66386,Nigeria,
14.16005802,12.61279297,1051,66387,Nigeria,
14.17031288,12.52407265,1051,66388,Nigeria,
14.17763615,12.48408222,1051,66389,Nigeria,
14.18486309,12.44721699,1051,66390,Nigeria,
14.19746113,12.38378906,1051,66391,Nigeria,
14.27285194,12.35649395,1051,66392,Nigeria,
14.41543007,12.34414101,1051,66393,Nigeria,
14.51894474,12.29824257,1051,66394,Nigeria,
14.58095646,12.22207069,1051,66395,Nigeria,
14.58701134,12.20942402,1051,66396,Nigeria,
14.61972618,12.15097618,1051,66397,Nigeria,
14.62714863,12.10869122,1051,66398,Nigeria,
14.61816406,11.9866209,1051,66399,Nigeria,
14.59736252,11.82983398,1051,66400,Nigeria,
14.56181622,11.72871113,1051,66401,Nigeria,
14.5816412,11.59116268,1051,66402,Nigeria,
14.57539177,11.53242207,1051,66403,Nigeria,
14.55976582,11.49228477,1051,66404,Nigeria,
14.4960928,11.4461422,1051,66405,Nigeria,
14.40947247,11.40117168,1051,66406,Nigeria,
14.20234394,11.26816368,1051,66407,Nigeria,
14.14326191,11.24853516,1051,66408,Nigeria,
14.05673885,11.24501896,1051,66409,Nigeria,
13.98144531,11.21186447,1051,66410,Nigeria,
13.89208984,11.14008808,1051,66411,Nigeria,
13.69990253,10.87314415,1051,66412,Nigeria,
13.53535175,10.6050787,1051,66413,Nigeria,
13.47851563,10.38325214,1051,66414,Nigeria,
13.41455078,10.17143536,1051,66415,Nigeria,
13.26992226,10.03618145,1051,66416,Nigeria,
13.2498045,9.960058212,1051,66417,Nigeria,
13.24374962,9.91591835,1051,66418,Nigeria,
13.23876953,9.814013481,1051,66419,Nigeria,
13.22119141,9.645165443,1051,66420,Nigeria,
13.19873047,9.563770294,1051,66421,Nigeria,
13.17548752,9.539648056,1051,66422,Nigeria,
13.01943302,9.488329887,1051,66423,Nigeria,
12.92949295,9.426269531,1051,66424,Nigeria,
12.87568378,9.303516388,1051,66425,Nigeria,
12.85595703,9.170752525,1051,66426,Nigeria,
12.82441425,9.019433975,1051,66427,Nigeria,
12.80654335,8.886620522,1051,66428,Nigeria,
12.78222656,8.817871094,1051,66429,Nigeria,
12.73115253,8.745654106,1051,66430,Nigeria,
12.65156269,8.6677742,1051,66431,Nigeria,
12.58271408,8.624121666,1051,66432,Nigeria,
12.40351582,8.595556259,1051,66433,Nigeria,
12.31132793,8.419726372,1051,66434,Nigeria,
12.23339844,8.282323837,1051,66435,Nigeria,
12.23115253,8.227392197,1051,66436,Nigeria,
12.15595627,7.942480564,1051,66437,Nigeria,
12.02519512,7.727782726,1051,66438,Nigeria,
12.01660156,7.652001858,1051,66439,Nigeria,
12.01601601,7.589746475,1051,66440,Nigeria,
11.85244179,7.400732994,1051,66441,Nigeria,
11.80918026,7.345068455,1051,66442,Nigeria,
11.76738262,7.272265434,1051,66443,Nigeria,
11.80859375,7.201952934,1051,66444,Nigeria,
11.85478497,7.137988091,1051,66445,Nigeria,
11.8614254,7.116405964,1051,66446,Nigeria,
11.78701115,7.056200981,1051,66447,Nigeria,
11.65751934,6.951562405,1051,66448,Nigeria,
11.58007813,6.888866901,1051,66449,Nigeria,
11.56298828,6.8546381,1051,66450,Nigeria,
11.55165958,6.697266102,1051,66451,Nigeria,
11.52910137,6.65502882,1051,66452,Nigeria,
11.47753906,6.597412109,1051,66453,Nigeria,
11.40175819,6.533935547,1051,66454,Nigeria,
11.3246088,6.484668255,1051,66455,Nigeria,
11.23730469,6.450536728,1051,66456,Nigeria,
11.15332031,6.437939644,1051,66457,Nigeria,
11.10644531,6.457715034,1051,66458,Nigeria,
11.07968807,6.505517483,1051,66459,Nigeria,
11.03251934,6.697899818,1051,66460,Nigeria,
11.00869179,6.739110947,1051,66461,Nigeria,
10.95419979,6.776562691,1051,66462,Nigeria,
10.84648418,6.881786823,1051,66463,Nigeria,
10.73759747,6.988281727,1051,66464,Nigeria,
10.60624981,7.063086033,1051,66465,Nigeria,
10.578125,7.057714939,1051,66466,Nigeria,
10.55634785,7.03745079,1051,66467,Nigeria,
10.51904297,6.930468559,1051,66468,Nigeria,
10.48232365,6.89125967,1051,66469,Nigeria,
10.41318321,6.877734661,1051,66470,Nigeria,
10.29306602,6.876758099,1051,66471,Nigeria,
10.20546913,6.891601563,1051,66472,Nigeria,
10.18554688,6.912793159,1051,66473,Nigeria,
10.16777325,6.959179878,1051,66474,Nigeria,
10.14355469,6.996436119,1051,66475,Nigeria,
10.03886795,6.921386719,1051,66476,Nigeria,
9.874218941,6.80327177,1051,66477,Nigeria,
9.820702553,6.783935547,1051,66478,Nigeria,
9.779883385,6.760155678,1051,66479,Nigeria,
9.725585938,6.650000095,1051,66480,Nigeria,
9.659960747,6.531982422,1051,66481,Nigeria,
9.574023247,6.470410347,1051,66482,Nigeria,
9.490234375,6.418652534,1051,66483,Nigeria,
9.442187309,6.373388767,1051,66484,Nigeria,
9.373339653,6.319628716,1051,66485,Nigeria,
9.238769531,6.186132908,1051,66486,Nigeria,
9.060155869,6.009082317,1051,66487,Nigeria,
8.997167587,5.917724609,1051,66488,Nigeria,
8.935058594,5.781005859,1051,66489,Nigeria,
8.898828506,5.629687309,1051,66490,Nigeria,
8.859179497,5.463769913,1051,66491,Nigeria,
8.800976753,5.197461128,1051,66492,Nigeria,
8.715624809,5.046875477,1051,66493,Nigeria,
8.640527725,4.92700243,1051,66494,Nigeria,
8.585155487,4.832812786,1051,66495,Nigeria,
8.555859566,4.755224705,1051,66496,Nigeria,
8.543750763,4.7578125,1051,66497,Nigeria,
8.514843941,4.724707127,1051,66498,Nigeria,
8.431347847,4.746240616,1051,66499,Nigeria,
8.393652916,4.813769817,1051,66500,Nigeria,
8.342089653,4.824756145,1051,66501,Nigeria,
8.252735138,4.923974514,1051,66502,Nigeria,
8.23378849,4.907470226,1051,66503,Nigeria,
8.328027725,4.656103611,1051,66504,Nigeria,
8.293066025,4.557617664,1051,66505,Nigeria,
8.028514862,4.555370808,1051,66506,Nigeria,
7.80078125,4.522265434,1051,66507,Nigeria,
7.644238472,4.525341511,1051,66508,Nigeria,
7.565625668,4.560937881,1051,66509,Nigeria,
7.530761719,4.655175686,1051,66510,Nigeria,
7.517383099,4.645458698,1051,66511,Nigeria,
7.509472847,4.594922066,1051,66512,Nigeria,
7.459863663,4.555224895,1051,66513,Nigeria,
7.284375191,4.547656059,1051,66514,Nigeria,
7.206738472,4.612060547,1051,66515,Nigeria,
7.143847466,4.684082031,1051,66516,Nigeria,
7.076562405,4.716162205,1051,66517,Nigeria,
7.086913586,4.685839653,1051,66518,Nigeria,
7.164159775,4.615576267,1051,66519,Nigeria,
7.154687405,4.514404774,1051,66520,Nigeria,
7.01337862,4.397314548,1051,66521,Nigeria,
6.923242092,4.390673637,1051,66522,Nigeria,
6.867870808,4.441112995,1051,66523,Nigeria,
6.839159966,4.523486137,1051,66524,Nigeria,
6.824707031,4.645263672,1051,66525,Nigeria,
6.787597656,4.724707127,1051,66526,Nigeria,
6.767675877,4.724707127,1051,66527,Nigeria,
6.786035538,4.652001858,1051,66528,Nigeria,
6.792187691,4.592627048,1051,66529,Nigeria,
6.793066502,4.469141006,1051,66530,Nigeria,
6.860351086,4.373339653,1051,66531,Nigeria,
6.757030964,4.343554497,1051,66532,Nigeria,
6.715137005,4.342431545,1051,66533,Nigeria,
6.633008003,4.34023428,1051,66534,Nigeria,
6.617284775,4.375781059,1051,66535,Nigeria,
6.601562023,4.455176353,1051,66536,Nigeria,
6.579979897,4.475976467,1051,66537,Nigeria,
6.554589748,4.341406345,1051,66538,Nigeria,
6.5,4.331933498,1051,66539,Nigeria,
6.462110043,4.333154202,1051,66540,Nigeria,
6.299804688,4.303857327,1051,66541,Nigeria,
6.263671875,4.309423923,1051,66542,Nigeria,
6.255957127,4.334472656,1051,66543,Nigeria,
6.275292873,4.371679306,1051,66544,Nigeria,
6.270996094,4.432128906,1051,66545,Nigeria,
6.214648724,4.385498047,1051,66546,Nigeria,
6.205566883,4.292284966,1051,66547,Nigeria,
6.173340321,4.277392387,1051,66548,Nigeria,
6.076562405,4.290625095,1051,66549,Nigeria,
5.970703125,4.338573933,1051,66550,Nigeria,
5.906445503,4.38774395,1051,66551,Nigeria,
5.798632622,4.455956936,1051,66552,Nigeria,
5.58779335,4.647216797,1051,66553,Nigeria,
5.553613663,4.733203411,1051,66554,Nigeria,
5.493261814,4.838769436,1051,66555,Nigeria,
5.448144436,4.945849895,1051,66556,Nigeria,
5.383300781,5.129004002,1051,66557,Nigeria,
5.403223038,5.142285347,1051,66558,Nigeria,
5.452148438,5.126562595,1051,66559,Nigeria,
5.475976467,5.153857708,1051,66560,Nigeria,
5.388281345,5.173779011,1051,66561,Nigeria,
5.370019436,5.195019722,1051,66562,Nigeria,
5.364160538,5.259277821,1051,66563,Nigeria,
5.367968559,5.337744236,1051,66564,Nigeria,
5.439257622,5.365332127,1051,66565,Nigeria,
5.500878811,5.378612995,1051,66566,Nigeria,
5.531836033,5.426367283,1051,66567,Nigeria,
5.549706936,5.474218845,1051,66568,Nigeria,
5.385839939,5.401758194,1051,66569,Nigeria,
5.232421875,5.483788967,1051,66570,Nigeria,
5.19921875,5.533545017,1051,66571,Nigeria,
5.215820789,5.571680069,1051,66572,Nigeria,
5.2890625,5.57749033,1051,66573,Nigeria,
5.393847942,5.574511528,1051,66574,Nigeria,
5.456641197,5.611718655,1051,66575,Nigeria,
5.418066502,5.624707222,1051,66576,Nigeria,
5.350293159,5.623291016,1051,66577,Nigeria,
5.325293064,5.647949219,1051,66578,Nigeria,
5.327343941,5.707519531,1051,66579,Nigeria,
5.305370808,5.694335938,1051,66580,Nigeria,
5.276269913,5.641552925,1051,66581,Nigeria,
5.172851563,5.602734089,1051,66582,Nigeria,
5.112401962,5.641552925,1051,66583,Nigeria,
5.106249809,5.728125095,1051,66584,Nigeria,
5.093066692,5.767089844,1051,66585,Nigeria,
5.042089939,5.797509193,1051,66586,Nigeria,
4.861035347,6.02631855,1051,66587,Nigeria,
4.633594036,6.217187405,1051,66588,Nigeria,
4.431347847,6.348584175,1051,66589,Nigeria,
4.125878811,6.411376953,1051,66590,Nigeria,
3.486621141,6.408935547,1051,66591,Nigeria,
3.450781107,6.427051067,1051,66592,Nigeria,
3.489941597,6.457275867,1051,66593,Nigeria,
3.546093464,6.477441311,1051,66594,Nigeria,
3.75165987,6.583837986,1051,66595,Nigeria,
3.716991901,6.597949505,1051,66596,Nigeria,
3.503320217,6.531347275,1051,66597,Nigeria,
3.430175543,6.524999619,1051,66598,Nigeria,
3.335547209,6.396924019,1051,66599,Nigeria,
2.772460938,6.375732422,1051,66600,Nigeria,
2.706445217,6.369238377,1051,66601,Nigeria,
2.708007574,6.427685738,1051,66602,Nigeria,
2.735644341,6.595703125,1051,66603,Nigeria,
2.753710747,6.66176796,1051,66604,Nigeria,
2.774609327,6.711718559,1051,66605,Nigeria,
2.752929926,6.771630764,1051,66606,Nigeria,
2.731738329,6.852832317,1051,66607,Nigeria,
2.721386909,6.980273247,1051,66608,Nigeria,
2.74775362,7.019824505,1051,66609,Nigeria,
2.756738186,7.067919731,1051,66610,Nigeria,
2.750585794,7.143212318,1051,66611,Nigeria,
2.75048852,7.395068169,1051,66612,Nigeria,
2.765820265,7.422509193,1051,66613,Nigeria,
2.783984184,7.443408012,1051,66614,Nigeria,
2.785156488,7.476856232,1051,66615,Nigeria,
2.750976801,7.541893959,1051,66616,Nigeria,
2.719336033,7.616259575,1051,66617,Nigeria,
2.72040987,7.723095417,1051,66618,Nigeria,
2.707715034,7.826611519,1051,66619,Nigeria,
2.686035395,7.873730183,1051,66620,Nigeria,
2.702344179,8.049804688,1051,66621,Nigeria,
2.711523533,8.272997856,1051,66622,Nigeria,
2.703124762,8.371826172,1051,66623,Nigeria,
2.723632813,8.441894531,1051,66624,Nigeria,
2.734668016,8.614013672,1051,66625,Nigeria,
2.732910156,8.782519341,1051,66626,Nigeria,
2.774804831,9.048534393,1051,66627,Nigeria,
2.89804697,9.061377525,1051,66628,Nigeria,
3.044921875,9.083838463,1051,66629,Nigeria,
3.110449076,9.188281059,1051,66630,Nigeria,
3.148046732,9.320605278,1051,66631,Nigeria,
3.136132479,9.451611519,1051,66632,Nigeria,
3.164648294,9.494677544,1051,66633,Nigeria,
3.223437548,9.565625191,1051,66634,Nigeria,
3.329492092,9.667040825,1051,66635,Nigeria,
3.325195313,9.778467178,1051,66636,Nigeria,
3.354491949,9.812793732,1051,66637,Nigeria,
3.404785156,9.838624001,1051,66638,Nigeria,
3.476757765,9.851903915,1051,66639,Nigeria,
3.557226658,9.907323837,1051,66640,Nigeria,
3.60205102,10.0045414,1051,66641,Nigeria,
3.645898104,10.16015625,1051,66642,Nigeria,
3.576562405,10.26835918,1051,66643,Nigeria,
3.577929497,10.29248047,1051,66644,Nigeria,
3.604101658,10.35068417,1051,66645,Nigeria,
3.646582127,10.40898418,1051,66646,Nigeria,
3.680273771,10.42778301,1051,66647,Nigeria,
3.758496046,10.41269493,1051,66648,Nigeria,
3.771777391,10.41762638,1051,66649,Nigeria,
3.783789158,10.43588829,1051,66650,Nigeria,
3.834472418,10.60742188,1051,66651,Nigeria,
3.829687834,10.65375996,1051,66652,Nigeria,
3.756836176,10.76874924,1051,66653,Nigeria,
3.744921923,10.85043907,1051,66654,Nigeria,
3.734179735,10.97192383,1051,66655,Nigeria,
3.716406584,11.07958984,1051,66656,Nigeria,
3.6953125,11.12031269,1051,66657,Nigeria,
3.656249762,11.15459061,1051,66658,Nigeria,
3.638866901,11.17685604,1051,66659,Nigeria,
3.487792969,11.39540958,1051,66660,Nigeria,
3.490526915,11.49921894,1051,66661,Nigeria,
3.553906441,11.63188457,1051,66662,Nigeria,
3.595410347,11.69628906,1051,66663,Nigeria,
3.653125048,11.73183632,1051,66664,Nigeria,
3.664746523,11.76245117,1051,66665,Nigeria,
3.647363186,11.79965782,1051,66666,Nigeria,
3.618457079,11.82773399,1051,66667,Nigeria,
3.611816406,11.88730431,1051,66668,Nigeria,
3.620116711,11.92695332,1051,66669,Nigeria,
3.640624762,11.97036171,1051,66670,Nigeria,
3.632519484,12.06157207,1051,66671,Nigeria,
3.634179831,12.20161152,1051,66672,Nigeria,
3.643847942,12.40527344,1051,66673,Nigeria,
3.646679878,12.52998066,1051,66674,Nigeria,
3.769238234,12.62216854,1051,66675,Nigeria,
3.947851419,12.77504826,1051,66676,Nigeria,
4.038769722,12.93466854,1051,66677,Nigeria,
4.087402344,13.05546856,1051,66678,Nigeria,
4.147558689,13.45771503,1051,66679,Nigeria,
4.190820217,13.4821291,1051,66680,Nigeria,
4.2421875,13.50107479,1051,66681,Nigeria,
4.421386719,13.64750957,1051,66682,Nigeria,
4.559472561,13.70180702,1051,66683,Nigeria,
4.664843559,13.73320293,1051,66684,Nigeria,
4.823339462,13.75976563,1051,66685,Nigeria,
4.921679974,13.74912167,1051,66686,Nigeria,
5.100878716,13.74272442,1051,66687,Nigeria,
5.241894245,13.75722694,1051,66688,Nigeria,
5.361620903,13.83686543,1051,66689,Nigeria,
5.415820599,13.8591795,1051,66690,Nigeria,
5.491992474,13.87285233,1051,66691,Nigeria,
5.83818388,13.76538086,1051,66692,Nigeria,
6.184277534,13.66367149,1051,66693,Nigeria,
6.247168064,13.67299843,1051,66694,Nigeria,
6.299804688,13.65878868,1051,66695,Nigeria,
6.38632822,13.60361385,1051,66696,Nigeria,
6.514062405,13.48540115,1051,66697,Nigeria,
6.589941502,13.40913105,1051,66698,Nigeria,
6.626562595,13.36425781,1051,66699,Nigeria,
6.80429697,13.10766602,1051,66700,Nigeria,
6.870605469,13.04326153,1051,66701,Nigeria,
6.937206745,13.00820255,1051,66702,Nigeria,
7.005078316,12.99555683,1051,66703,Nigeria,
7.056738377,13.0001955,1051,66704,Nigeria,
7.106054306,13.02910137,1051,66705,Nigeria,
7.173046589,13.08632851,1051,66706,Nigeria,
7.274707317,13.11225605,1051,66707,Nigeria,
7.357811928,13.10717869,1051,66708,Nigeria,
7.78867197,13.33789063,1051,66709,Nigeria,
7.830468655,13.34091759,1051,66710,Nigeria,
7.955761433,13.32275391,1051,66711,Nigeria,
8.095019341,13.29116249,1051,66712,Nigeria,
8.456054688,13.05966854,1051,66713,Nigeria,
8.75058651,12.90815449,1051,66714,Nigeria,
8.957616806,12.85747051,1051,66715,Nigeria,
9.201562881,12.82148457,1051,66716,Nigeria,
9.615917206,12.8106451,1051,66717,Nigeria,
9.929297447,13.13525391,1051,66718,Nigeria,
10.04511738,13.20615196,1051,66719,Nigeria,
10.18466854,13.27011776,1051,66720,Nigeria,
10.22958946,13.28100586,1051,66721,Nigeria,
10.47587872,13.33022499,1051,66722,Nigeria,
10.95888615,13.37153339,1051,66723,Nigeria,
11.41191387,13.3536129,1051,66724,Nigeria,
11.50107384,13.34052753,1051,66725,Nigeria,
11.69335938,13.29770565,1051,66726,Nigeria,
11.99003983,13.1917963,1051,66727,Nigeria,
12.11796856,13.09043026,1051,66728,Nigeria,
12.31904316,13.07368088,1051,66729,Nigeria,
12.4631834,13.09375,1051,66730,Nigeria,
12.51015663,13.19433594,1051,66731,Nigeria,
12.65478516,13.32656193,1051,66732,Nigeria,
12.75996017,13.38037109,1051,66733,Nigeria,
12.87167931,13.44902325,1051,66734,Nigeria,
13.04843807,13.5345211,1051,66735,Nigeria,
13.19384766,13.57304668,1051,66736,Nigeria,
13.3238287,13.6708498,1051,66737,Nigeria,
13.42695332,13.70175838,1051,66738,Nigeria,
13.60634804,13.70458984,1051,66739,Nigeria,